snapped_at,price,market_cap,total_volume
2018-01-28 00:00:00 UTC,11665.6969300847,196359635508.99500,2682886340.599040
2018-01-29 00:00:00 UTC,11157.6638878978,187828526722.43500,2345235501.178290
2018-01-30 00:05:18 UTC,11095.2106891266,186776632503.01800,2321424679.531810
2018-01-31 00:00:00 UTC,9989.68977659669,168188285150.7700,3804947187.2286900
2018-02-01 00:00:00 UTC,10114.495086226,170304196700.15700,3225562144.838610
2018-02-02 00:00:00 UTC,9070.55544937356,152744180864.1640,4769515274.345700
2018-02-03 00:00:00 UTC,8830.16351005472,148715185541.37600,6813550017.173830
2018-02-04 00:00:00 UTC,8994.91486607664,151507305722.97000,3422042094.7330200
2018-02-05 00:00:00 UTC,8315.51749143615,140081544557.2350,3337096341.0061100
2018-02-06 00:00:00 UTC,6852.05270051491,115444836533.44800,5313588642.981380
2018-02-07 00:00:00 UTC,7711.2203289411,129936854004.41700,9152685412.95559
2018-02-08 00:05:28 UTC,7611.61027778882,128271617562.32500,4862232217.401410
2018-02-09 00:00:00 UTC,8208.57208449673,138345016554.78500,3190753947.378830
2018-02-10 00:00:00 UTC,8650.71675042998,145812043727.55500,2960039948.907380
2018-02-11 00:00:00 UTC,8574.67763849023,144544944416.7480,3371677737.5319900
2018-02-12 00:00:00 UTC,8168.63777979963,137716289625.30900,2806997176.95887
2018-02-13 00:00:00 UTC,8911.3985742083,150256428069.51200,3069219870.565570
2018-02-14 00:00:00 UTC,8518.26907619091,143645913955.80300,2551515988.2160900
2018-02-15 00:00:00 UTC,9428.02560716167,159007423075.0240,3282094240.879330
2018-02-16 00:00:00 UTC,10112.5801434467,170569769073.98800,4332356645.963480
2018-02-17 00:00:00 UTC,10155.2770555258,171309236631.063,3141038601.332420
2018-02-18 00:00:00 UTC,11006.647685962,185692327611.28800,3699819140.1747100
2018-02-19 00:00:00 UTC,10523.429305801,177561296505.31500,4740378626.743880
2018-02-20 00:00:00 UTC,11103.0900361497,187364222442.60500,3486171704.866560
2018-02-21 00:00:00 UTC,11502.3770496396,194121879194.2260,4225354045.1790000
2018-02-22 00:00:00 UTC,9973.59211951887,168362084194.4770,4574800113.397880
2018-02-23 00:00:00 UTC,10032.863112314,169362253983.19500,4626064156.354440
2018-02-24 00:00:00 UTC,10301.883609336,173922837770.0660,4009462976.493820
2018-02-25 00:00:00 UTC,9742.62819006538,164497574061.05900,3465387501.6657000
2018-02-26 00:00:00 UTC,9699.51718151529,163790896885.65800,2743650277.5619
2018-02-27 00:00:00 UTC,10355.5781264856,174886939893.19800,3646748812.403750
2018-02-28 00:00:00 UTC,10709.3884310463,180884108725.43000,3398119467.1062700
2018-03-01 00:00:00 UTC,10346.664931035,174778709347.89900,3182259829.3149300
2018-03-02 00:00:00 UTC,10859.5521943893,183463718171.25700,2892166041.0524000
2018-03-03 00:00:00 UTC,11098.0758092511,187514886761.3880,3031487197.1333100
2018-03-04 00:00:00 UTC,11356.0416016724,191899353575.24000,3019436740.238810
2018-03-05 00:00:00 UTC,11286.6762891691,190747933122.93700,2580256309.470720
2018-03-06 00:00:00 UTC,11526.4209302906,194821583687.4350,2693945511.0085100
2018-03-07 00:00:00 UTC,10727.716249205,181342656441.09200,3618749298.786030
2018-03-08 00:00:00 UTC,9999.68248604677,169056252057.66900,4896773758.150410
2018-03-09 00:00:00 UTC,9420.85488958591,159289105130.23800,4028135943.9580400
2018-03-10 00:00:00 UTC,9276.33759031006,156862284242.87500,5476476288.950580
2018-03-11 00:00:00 UTC,8890.86580399612,150359761907.83100,3260891795.801320
2018-03-12 00:00:00 UTC,9512.45611286134,160888688653.47700,3876612721.9476600
2018-03-13 00:00:00 UTC,9232.70587979953,156177221215.63100,4019736166.690970
2018-03-14 00:00:00 UTC,9216.53097626842,155921695042.49000,3628990704.0064200
2018-03-15 00:00:00 UTC,8307.22338626638,140553335048.27600,4020163253.1929800
2018-03-16 00:00:00 UTC,8359.36528334063,141449655895.93500,4571407139.639840
2018-03-17 00:00:00 UTC,8520.00815917187,144184737078.2780,3070872383.1616900
2018-03-18 00:00:00 UTC,8063.4097921227,136472702736.86000,2591898944.228950
2018-03-19 00:00:00 UTC,8217.84219996114,139102798580.5770,4330642347.54297
2018-03-20 00:00:00 UTC,8640.52143024258,146274523240.43400,4276409099.7044700
2018-03-21 00:00:00 UTC,8926.82049620007,151135311240.4030,3554700592.279650
2018-03-22 00:00:00 UTC,8970.31790627893,151888445786.24900,3081152046.0236900
2018-03-23 00:00:00 UTC,8736.38576909829,147943048662.1320,2931676659.5938500
2018-03-24 00:00:00 UTC,8824.59283177853,149451318665.61400,2877067842.098430
2018-03-25 00:00:00 UTC,8621.15079225785,146022681302.7960,2444371384.2694900
2018-03-26 00:00:00 UTC,8478.63819558905,143623891714.18100,2066020545.3926100
2018-03-27 00:00:00 UTC,8186.19606281355,138684803358.9430,2972024162.97679
2018-03-28 00:00:00 UTC,7836.76304425289,132779843611.38600,2653185409.403990
2018-03-29 00:00:00 UTC,7930.77954092755,134386559681.90600,2033730316.7590500
2018-03-30 00:00:00 UTC,7126.89519256736,120777974799.76300,3680239216.3167900
2018-03-31 00:00:00 UTC,6897.26857786945,116900853303.24600,4264255594.746100
2018-04-01 00:00:00 UTC,6975.27531402076,118234055446.5430,2565052340.2323800
2018-04-02 00:00:00 UTC,6836.57232729678,115896903503.05800,2649647152.1697800
2018-04-03 00:00:00 UTC,7080.41723231299,120044225923.52700,2253363912.1674600
2018-04-04 00:00:00 UTC,7464.35609406668,126568883854.60800,2762080502.6107800
2018-04-05 00:00:00 UTC,6845.31597826858,116084750821.3730,2544238382.121460
